Job,Tool,a,b,ns/op,memUsage
BenchmarkGonomicsIntervalOverlap100_100-13                         ,Gonomics8Worker,100,100,23431400,15549
BenchmarkGonomicsIntervalOverlap100_100-13                         ,Gonomics8Worker,100,100,21961023,15484
BenchmarkGonomicsIntervalOverlap100_100-13                         ,Gonomics8Worker,100,100,21729885,15443
BenchmarkGonomicsIntervalOverlap100_100-13                         ,Gonomics8Worker,100,100,21864590,15409
BenchmarkGonomicsIntervalOverlap100_100-13                         ,Gonomics8Worker,100,100,20497859,15376
BenchmarkGonomicsIntervalOverlap100_100-13                         ,Gonomics8Worker,100,100,21104587,15341
BenchmarkGonomicsIntervalOverlap100_100-13                         ,Gonomics8Worker,100,100,21093569,15282
BenchmarkGonomicsIntervalOverlap100_100-13                         ,Gonomics8Worker,100,100,20261615,15232
 15231BenchmarkBedtoolsIntervalOverlap100_100-13                         ,Bedtools,100,100,17447937,15164
BenchmarkBedtoolsIntervalOverlap100_100-13                         ,Bedtools,100,100,17321351,15062
BenchmarkBedtoolsIntervalOverlap100_100-13                         ,Bedtools,100,100,16149288,15003
BenchmarkBedtoolsIntervalOverlap100_100-13                         ,Bedtools,100,100,17306988,14941
BenchmarkBedtoolsIntervalOverlap100_100-13                         ,Bedtools,100,100,17665477,14852
BenchmarkBedtoolsIntervalOverlap100_100-13                         ,Bedtools,100,100,17561210,14792
BenchmarkBedtoolsIntervalOverlap100_100-13                         ,Bedtools,100,100,16736197,14735
BenchmarkBedtoolsIntervalOverlap100_100-13                         ,Bedtools,100,100,18076095,14688
BenchmarkBedtoolsIntervalOverlap100_100-13                         ,Bedtools,100,100,17642075,14610
BenchmarkBedtoolsIntervalOverlap100_100-13                         ,Bedtools,100,100,17924775,14574
 14574BenchmarkBedopsIntervalOverlap100_100-13                           ,Bedops,100,100,35771746,14590
BenchmarkBedopsIntervalOverlap100_100-13                           ,Bedops,100,100,34078651,14605
BenchmarkBedopsIntervalOverlap100_100-13                           ,Bedops,100,100,31397528,14617
BenchmarkBedopsIntervalOverlap100_100-13                           ,Bedops,100,100,32747554,14631
BenchmarkBedopsIntervalOverlap100_100-13                           ,Bedops,100,100,63548837,14643
BenchmarkBedopsIntervalOverlap100_100-13                           ,Bedops,100,100,34517764,14654
BenchmarkBedopsIntervalOverlap100_100-13                           ,Bedops,100,100,32735872,14669
