Job,Tool,a,b,ns/op
BenchmarkGonomicsIntervalOverlap100_1k-13                          ,Gonomics8Worker,100,1000,21239480
BenchmarkGonomicsIntervalOverlap100_1k-13                          ,Gonomics8Worker,100,1000,20822624
BenchmarkGonomicsIntervalOverlap100_1k-13                          ,Gonomics8Worker,100,1000,21840167
BenchmarkGonomicsIntervalOverlap100_1k-13                          ,Gonomics8Worker,100,1000,21084281
 14473BenchmarkBedtoolsIntervalOverlap100_1k-13                          ,Bedtools,100,1000,16091343
BenchmarkBedtoolsIntervalOverlap100_1k-13                          ,Bedtools,100,1000,18258527
BenchmarkBedtoolsIntervalOverlap100_1k-13                          ,Bedtools,100,1000,17591734
BenchmarkBedtoolsIntervalOverlap100_1k-13                          ,Bedtools,100,1000,16988590
BenchmarkBedtoolsIntervalOverlap100_1k-13                          ,Bedtools,100,1000,16342927
BenchmarkBedtoolsIntervalOverlap100_1k-13                          ,Bedtools,100,1000,18087242
BenchmarkBedtoolsIntervalOverlap100_1k-13                          ,Bedtools,100,1000,16649804
BenchmarkBedtoolsIntervalOverlap100_1k-13                          ,Bedtools,100,1000,16555249
BenchmarkBedtoolsIntervalOverlap100_1k-13                          ,Bedtools,100,1000,17197934
BenchmarkBedtoolsIntervalOverlap100_1k-13                          ,Bedtools,100,1000,16514062
 14152BenchmarkBedopsIntervalOverlap100_1k-13                            ,Bedops,100,1000,34825531
BenchmarkBedopsIntervalOverlap100_1k-13                            ,Bedops,100,1000,33930108
BenchmarkBedopsIntervalOverlap100_1k-13                            ,Bedops,100,1000,33317632
BenchmarkBedopsIntervalOverlap100_1k-13                            ,Bedops,100,1000,32964387
BenchmarkBedopsIntervalOverlap100_1k-13                            ,Bedops,100,1000,33328636
BenchmarkBedopsIntervalOverlap100_1k-13                            ,Bedops,100,1000,36966180
BenchmarkBedopsIntervalOverlap100_1k-13                            ,Bedops,100,1000,34864354
BenchmarkBedopsIntervalOverlap100_1k-13                            ,Bedops,100,1000,35954543
BenchmarkBedopsIntervalOverlap100_1k-13                            ,Bedops,100,1000,33749528
BenchmarkBedopsIntervalOverlap100_1k-13                            ,Bedops,100,1000,35151280
 14265BenchmarkSingleThreadIntervalOverlap100_1k-13                      ,Gonomics1Worker,100,1000,22659628
BenchmarkSingleThreadIntervalOverlap100_1k-13                      ,Gonomics1Worker,100,1000,21874038
BenchmarkSingleThreadIntervalOverlap100_1k-13                      ,Gonomics1Worker,100,1000,22213452
BenchmarkSingleThreadIntervalOverlap100_1k-13                      ,Gonomics1Worker,100,1000,23511892
BenchmarkSingleThreadIntervalOverlap100_1k-13                      ,Gonomics1Worker,100,1000,21648638
BenchmarkSingleThreadIntervalOverlap100_1k-13                      ,Gonomics1Worker,100,1000,23938641
BenchmarkSingleThreadIntervalOverlap100_1k-13                      ,Gonomics1Worker,100,1000,23171022
BenchmarkSingleThreadIntervalOverlap100_1k-13                      ,Gonomics1Worker,100,1000,21717058
BenchmarkSingleThreadIntervalOverlap100_1k-13                      ,Gonomics1Worker,100,1000,21552599
